Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Notes,ID
Deposit,2020-10-10 22:59:32,,,,,,,,,500,,,500,Transaction ID: 1656023707706907,08f87c01-7ed4-4eac-a1d7-b73818b7f3fe
Deposit,2020-10-11 17:24:10,,,,,,,,,500,,,500,Transaction ID: 1739024370494020,fc2054b5-10c4-4d1c-94b0-5ed7495f6f4b
Deposit,2020-10-17 20:02:05,,,,,,,,,500,,,500,Transaction ID: 1549029649246309,44397dc1-28bd-4152-888e-b0ebc80443cb
Market buy,2020-10-19 7:01:38,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,11.479925,51.19,GBP,0.904,,650,,,,,EOF494776777
Market buy,2020-10-19 13:30:10,US3696043013,GE,General Electric,1,7.4,USD,1.17789,,6.28,,,,,EOF495288829
Deposit,2020-10-19 13:30:10,,,,,,,,,6.29,,,6.29,Free Shares Promotion,97eb1692-0aa6-4acb-b9a2-ad59c8c3470e
Market buy,2020-11-03 11:13:24,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,5.52238,48.89,GBP,0.9,,300,,,,,EOF521156317
Market buy,2020-11-03 11:15:35,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,5.521629,48.91,GBP,0.90021,,300,,,,,EOF521159696
Market sell,2020-11-03 15:19:42,US3696043013,GE,General Electric,1,7.71,USD,1.17215,0.3,6.58,,,,,EOF521911859
Market buy,2020-11-03 15:20:54,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,4.671944,49.22,GBP,0.89829,,256,,,,,EOF521919419
Deposit,2020-11-04 11:28:26,,,,,,,,,100,,,100,Transaction ID: 6139044893052175,884a442d-eae7-430f-ab53-6172b277ced1
Deposit,2020-11-04 11:40:45,,,,,,,,,900,,,900,Transaction ID: 1849044900441363,58438c67-9c26-4501-ba7e-e7d8d958343f
Deposit,2020-11-05 12:00:55,,,,,,,,,1,,,1,Bank Transfer,b55f2597-c10b-4cfd-ae59-da568db138c8
Market buy,2020-11-05 13:49:58,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,17.62757,50.83,GBP,0.90506,,990,,,,,EOF526334499
Deposit,2020-11-09 22:22:50,,,,,,,,,1,,,1,Transaction ID: 1339049605684396,ab1f7605-d470-4dad-9679-ef1aad9f5177
Deposit,2020-11-09 22:24:33,,,,,,,,,200,,,200,Transaction ID: 1539049606722623,aa651e40-1636-4f97-8caf-0e0b20e71d1e
Deposit,2020-11-09 23:30:10,,,,,,,,,500,,,500,Transaction ID: 4646049646099598,0178f212-87d3-4b7b-ba3a-103ba79682e2
